,year,storey_range,floor_area_sqm,remaining_lease,mrt_dist,shopping_dist,school_dist,hawker_dist,town_BEDOK,town_BISHAN,town_BUKIT_BATOK,town_BUKIT_MERAH,town_BUKIT_PANJANG,town_BUKIT_TIMAH,town_CENTRAL_AREA,town_CHOA_CHU_KANG,town_CLEMENTI,town_GEYLANG,town_HOUGANG,town_JURONG_EAST,town_JURONG_WEST,town_KALLANG_WHAMPOA,town_MARINE_PARADE,town_PASIR_RIS,town_PUNGGOL,town_QUEENSTOWN,town_SEMBAWANG,town_SENGKANG,town_SERANGOON,town_TAMPINES,town_TOA_PAYOH,town_WOODLANDS,town_YISHUN,flat_type_2_ROOM,flat_type_3_ROOM,flat_type_4_ROOM,flat_type_5_ROOM,flat_type_EXECUTIVE,flat_type_MULTI_GENERATION
town_BUKIT_BATOK,0.009357475129286115,-0.006958989221199031,-0.018379185824337042,-0.03077683190507023,-0.04715395416773467,0.12399129679349075,0.009190128111351998,-0.01696564989527548,-0.047046187425388804,-0.02693281845879699,1.0,-0.039127876897311446,-0.03861613966100355,-0.009923743660677973,-0.017964792669720783,-0.043087845990906114,-0.02997530017767886,-0.03132271406358196,-0.04511040829640648,-0.028493191236595678,-0.05244472469376441,-0.03464303354735837,-0.015531850283237834,-0.03448517021230138,-0.05449539094089599,-0.03298295756309777,-0.032619829124152615,-0.0588691689347086,-0.02711456548528823,-0.05256359195965298,-0.03522567552880851,-0.05415607702366275,-0.0527963539103381,-0.009748280161467409,0.04107392354190136,-0.002107683850308405,-0.04120874839023425,0.010369671002812388,-0.003963206798214666
town_BUKIT_MERAH,-0.0033956884000698913,0.09674892979547531,-0.08294366734808584,-0.05300614438380306,-0.07617977596586119,0.09886941978669905,0.05042147209769185,-0.18578356868881393,-0.047816076562197024,-0.027373561598460685,-0.039127876897311446,1.0,-0.03924807495815487,-0.010086141144065032,-0.018258778207727498,-0.0437929586976371,-0.03046583212601026,-0.03183529581807945,-0.04584861930148603,-0.028959469156371452,-0.05330295840055949,-0.035209950797274375,-0.01578602184233732,-0.03504950410162155,-0.05538718285407047,-0.033522708435959836,-0.033153637567760415,-0.05983253570545196,-0.02755828283113066,-0.0534237708743748,-0.03580212744575483,-0.055042316221234885,-0.05366034186692031,0.022364741623841538,0.055134824513977214,-0.01630678229593757,-0.01187401221983028,-0.05650337234084195,-0.004028062847723685
town_BUKIT_PANJANG,-0.007633530804952708,0.03785555776349664,0.04017048666568729,0.07556542436291355,0.08529678680821162,-0.10042524549801692,-0.013440142182321717,0.1302912304511559,-0.04719070997419584,-0.027015554165625073,-0.03861613966100355,-0.03924807495815487,1.0,-0.009954228696895181,-0.018019979237803522,-0.04322020879575756,-0.030067382172415523,-0.03141893521814773,-0.04524898426911586,-0.028580720297854953,-0.05260583116591469,-0.034749454487728926,-0.015579563024980488,-0.03459110620771099,-0.05466279691421891,-0.0330842788678637,-0.032720034924126354,-0.05905001084361062,-0.02719785950608238,-0.05272506358360737,-0.03533388630399329,-0.0543224406487117,-0.052958540562486736,-0.0009838633395914968,-0.054238675558716434,0.01921174281827214,0.019882707936981766,0.02016829150561092,-0.003975381488221914
town_BUKIT_TIMAH,-0.005335472553923517,-0.010621877832121497,0.025260716463313033,-0.04424676076261634,-0.054877558463914684,0.060115773309515265,-0.004243837935489029,-0.04807055324309011,-0.012127274063654,-0.006942574704368217,-0.009923743660677973,-0.010086141144065032,-0.009954228696895181,1.0,-0.004630852702951416,-0.011106917387789043,-0.007726846749728792,-0.008074174734540385,-0.011628280939905335,-0.007344797909975366,-0.01351887547875828,-0.008930066073716285,-0.004003703921793507,-0.008889373043449667,-0.014047483490438585,-0.008502141994649869,-0.008408537000485673,-0.015174928822935555,-0.006989424324308275,-0.013549516344458836,-0.009080255905809218,-0.013960017255805788,-0.01360951627478342,-0.006547134105158526,-0.007140523348511875,-0.0034486698532649185,-0.002197655137596774,0.02492251972034974,-0.0010216108391165487
town_CENTRAL_AREA,-0.006331579900183951,0.11693931200030291,-0.058910770847083786,-0.02991577547412062,-0.09294533017349807,-0.09957743801419046,0.03795476666629001,-0.0919113130023445,-0.021953808124416076,-0.012568030717300817,-0.017964792669720783,-0.018258778207727498,-0.018019979237803522,-0.004630852702951416,1.0,-0.020106672934527642,-0.013987785718367791,-0.014616547952549434,-0.021050488941829974,-0.01329616888196488,-0.02447300166226474,-0.016165954203039384,-0.007247840464780282,-0.016092288268403716,-0.025429932197564255,-0.015391290162765813,-0.015221838555538875,-0.027470928250798075,-0.012652841826661744,-0.02452847032594177,-0.01643784042732116,-0.025271593487446245,-0.02463708722953503,0.015738323164064198,0.036064765333298845,-0.002720572742185372,-0.021295565960808664,-0.025647847125301923,-0.0018494055813422588
town_CHOA_CHU_KANG,0.007726447402244946,-0.016291703942397078,0.10294705054347197,0.0772145521256791,0.003750311457819777,-0.17085812078973173,0.007278548972440355,-0.05474541025972427,-0.05265534207768292,-0.030143925505401202,-0.043087845990906114,-0.0437929586976371,-0.04322020879575756,-0.011106917387789043,-0.020106672934527642,1.0,-0.03354915182532054,-0.03505721322126262,-0.05048876668015418,-0.03189033614736981,-0.05869752832361972,-0.03877340294445144,-0.017383659219149965,-0.03859671810846722,-0.060992688434122075,-0.03691540182661896,-0.03650897883642174,-0.06588793689184604,-0.030347341602968352,-0.05883056772361495,-0.03942551131966589,-0.06061291928891408,-0.059091081078825936,-0.013920627816670113,-0.08931822116750214,0.028509605508557953,0.04670067063014238,0.021825680123264125,-0.004435726274643285
town_CLEMENTI,-0.0014513764667493181,0.04212332706036734,-0.07081529136091244,-0.07479205897751615,-0.02611090957529975,-0.06155099496177806,0.03771938245206795,-0.12532583486670598,-0.036631204193171465,-0.02097048935211709,-0.02997530017767886,-0.03046583212601026,-0.030067382172415523,-0.007726846749728792,-0.013987785718367791,-0.03354915182532054,1.0,-0.024388559361310243,-0.03512396366153405,-0.022185430178760783,-0.04083462495571477,-0.02697383369814442,-0.012093442856030768,-0.026850917806815172,-0.04243131914373801,-0.025681261745273166,-0.025398521894855804,-0.04583683962381969,-0.021112001614921317,-0.04092717764333822,-0.02742749165773658,-0.04216712180771511,-0.04110841125674083,-0.008772242367504925,0.0858823465915577,-0.020730116079284534,-0.04361542457208902,-0.023853123270740458,-0.003085840647882661
town_GEYLANG,-0.0024195797160732947,-0.028930785577090664,-0.0902520484163703,-0.13028401952379792,-0.13272465109344225,0.1480295936760799,0.12650655360163535,-0.14578296175219507,-0.03827780632541716,-0.021913129738693415,-0.03132271406358196,-0.03183529581807945,-0.03141893521814773,-0.008074174734540385,-0.014616547952549434,-0.03505721322126262,-0.024388559361310243,1.0,-0.036702814117909016,-0.023182683134041194,-0.04267017423678375,-0.02818632924833193,-0.012637052852794869,-0.0280578881886857,-0.04433864111457955,-0.026835655145104154,-0.026540205910684823,-0.04789724248313776,-0.022061003091689197,-0.042766887242260604,-0.028660379498595547,-0.0440625678955108,-0.042956267452558275,0.020489837558286015,0.07784942731895643,-0.020600738031022213,-0.045875494008735994,-0.021517828348405724,-0.003224551670424326
town_HOUGANG,0.00817561268023618,-0.044769027412552745,0.031153772712603015,-0.02127233897289796,0.06943892312204161,-0.050868889231025304,-0.01490170413022402,-0.0044326407077073735,-0.05512700682722841,-0.03155889453123561,-0.04511040829640648,-0.04584861930148603,-0.04524898426911586,-0.011628280939905335,-0.021050488941829974,-0.05048876668015418,-0.03512396366153405,-0.036702814117909016,1.0,-0.03338728245132371,-0.061452815933923065,-0.040593443409410804,-0.018199655773624864,-0.04040846491007593,-0.06385571186221445,-0.038648226907794035,-0.03822272624497064,-0.06898074542009694,-0.031771859069246074,-0.061592100261447756,-0.04127616203650842,-0.063458116187502,-0.061864842227308085,-0.012646964765907941,-0.016098119031094586,0.015177309402235353,-0.01402130587687314,0.02736506655317938,-0.004643941202874041
town_JURONG_EAST,-0.011905330059084002,0.007142927753057501,0.0036711341471692216,-0.06086132485440673,0.032864771988941194,0.17408850078035232,0.08555259210063845,-0.1132717235898993,-0.03481999846927681,-0.01993361734138182,-0.028493191236595678,-0.028959469156371452,-0.028580720297854953,-0.007344797909975366,-0.01329616888196488,-0.03189033614736981,-0.022185430178760783,-0.023182683134041194,-0.03338728245132371,1.0,-0.03881558386542141,-0.025640130286925623,-0.011495490552662932,-0.025523291890749762,-0.04033333056273738,-0.024411468701489546,-0.024142708736438992,-0.043570467329473186,-0.020068132623714485,-0.038903560346467365,-0.02607135742800651,-0.04008219628968958,-0.03907583298342357,0.0005492105580049109,0.03486916275790159,-0.0369933213346067,-0.001081204008532424,0.014853850721641831,-0.0029332632929313933
